Origen,Destino,Distancia (m),Distancia (unidades),Tiempo caminando (min),Sección (1-4)
F,G,75,1.2, 00:54,3
F,H,56.25,0.9, 00:40,3
F,J,56.25,0.9, 00:40,3
F,I,100,1.6, 01:11,3
F,GLOBO,81.25,1.3, 00:58,3
H,G,93.75,1.5, 01:07,3
H,J,37.5,0.6, 00:27,3
H,F,56.25,0.9, 00:40,3
G,H,93.75,1.5, 01:07,3
G,FAJARDIN,187.5,3, 02:14,3
G,F,75,1.2, 00:54,3
J,H,37.5,0.6, 00:27,3
J,K,18.75,0.3, 00:13,3
J,F,56.25,0.9, 00:40,3
J,I,68.75,1.1, 00:49,3
K,J,18.75,0.3, 00:13,3
K,M,25,0.4, 00:18,3
K,ALFA,87.5,1.4, 01:03,3
I,J,68.75,1.1, 00:49,3
I,BETA,62.5,1, 00:45,3
I,GLOBO,62.5,1, 00:45,3
I,F,100,1.6, 01:11,3
GLOBO,I,62.5,1, 00:45,3
GLOBO,E,56.25,0.9, 00:40,3
GLOBO,ESTACIONAMIENTO ESTUDIANTES,31.25,0.5, 00:22,3
GLOBO,BETA,87.5,1.4, 01:03,3
ALFA,BETA,12.5,0.2, 00:09,3
ALFA,COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,31.25,0.5, 00:22,3
ALFA,K,87.5,1.4, 01:03,3
ALFA,L2,75,1.2, 00:54,3
ALFA,DIV CIENCIAS BASICAS,125,2, 01:29,3
BETA,ALFA,12.5,0.2, 00:09,3
BETA,GLOBO,87.5,1.4, 01:03,3
BETA,I,62.5,1, 00:45,3
BETA,ESTACIONAMIENTO ESTUDIANTES,62.5,1, 00:45,3
M,K,25,0.4, 00:18,3
M,N,12.5,0.2, 00:09,3
M,Y,200,3.2, 02:23,3
M,JARDIN CHEDRAUI,181.25,2.9, 02:09,3
M,L2,56.25,0.9, 00:40,3
L2,M,56.25,0.9, 00:40,3
L2,N,56.25,0.9, 00:40,3
L2,DIV CIENCIAS BASICAS,56.25,0.9, 00:40,3
L2,ALFA,75,1.2, 00:54,3
L2,P,62.5,1, 00:45,3
L2,O,100,1.6, 01:11,3
DIV CIENCIAS BASICAS,ALFA,125,2, 01:29,3
DIV CIENCIAS BASICAS,L2,56.25,0.9, 00:40,3
DIV CIENCIAS BASICAS,CDU-CUCEI,193.75,3.1, 02:18,3
DIV CIENCIAS BASICAS,P,50,0.8, 00:36,3
N,M,12.5,0.2, 00:09,1
N,L2,56.25,0.9, 00:40,1
N,Y,200,3.2, 02:23,1
N,JARDIN CHEDRAUI,181.25,2.9, 02:09,1
N,O,100,1.6, 01:11,1
O,N,100,1.6, 01:11,1
O,Y,125,2, 01:29,1
O,JARDIN CHEDRAUI,106.25,1.7, 01:16,1
O,S,25,0.4, 00:18,1
O,P,75,1.2, 00:54,1
O,R,87.5,1.4, 01:03,1
O,L2,100,1.6, 01:11,1
P,O,75,1.2, 00:54,1
P,DIV CIENCIAS BASICAS,437.5,7, 05:13,1
P,L2,62.5,1, 00:45,1
P,JOBS,84.375,1.35, 01:00,1
P,Q,81.25,1.3, 00:58,1
P,N,112.5,1.8, 01:20,1
P,R,143.75,2.3, 01:43,1
Q,P,84.375,1.35, 01:00,1
Q,JOBS,43.75,0.7, 00:31,1
Q,R,87.5,1.4, 01:03,1
Q,FLOR DE CORDOBA,31.25,0.5, 00:22,1
Q,TITANIC,62.5,1, 00:45,1
R,Q,87.5,1.4, 01:03,1
R,T,37.5,0.6, 00:27,1
R,P,143.75,2.3, 01:43,1
R,U,78.125,1.25, 00:56,1
R,V2,100,1.6, 01:11,1
S,O,250,4, 02:59,1
S,R,43.75,0.7, 00:31,1
S,V2,43.75,0.7, 00:31,1
S,JARDIN CHEDRAUI,50,0.8, 00:36,1
T,U,12.5,0.2, 00:09,1
T,FLOR DE CORDOBA,43.75,0.7, 00:31,1
T,R,31.25,0.5, 00:22,1
T,Q,75,1.2, 00:54,1
U,T,12.5,0.2, 00:09,1
U,V2,87.5,1.4, 01:03,1
U,V,112.5,1.8, 01:20,1
U,FLOR DE CORDOBA,62.5,1, 00:45,1
U,TITANIC,175,2.8, 02:05,1
V,U,112.5,1.8, 01:20,1
V,V2,18.75,0.3, 00:13,1
V,X,75,1.2, 00:54,1
V,COMEDORES X,112.5,1.8, 01:20,1
V2,V,18.75,0.3, 00:13,1
V2,U,87.5,1.4, 01:03,1
V2,W,84.375,1.35, 01:00,1
V2,S,,0.7, 00:00,1
V2,R,100,1.6, 01:11,1
W,X,100,1.6, 01:11,1
W,V2,84.375,1.35, 01:00,1
W,JARDIN CHEDRAUI,43.75,0.7, 00:31,1
W,Z2,87.5,1.4, 01:03,1
X,V,75,1.2, 00:54,1
X,COMEDORES X,112.5,1.8, 01:20,1
X,W,100,1.6, 01:11,1
X,V2,106.25,1.7, 01:16,1
Y,Z,75,1.2, 00:54,1
Y,Z2,25,0.4, 00:18,1
Y,JARDIN CHEDRAUI,56.25,0.9, 00:40,1
Y,M,200,3.2, 02:23,1
Y,N,200,3.2, 02:23,1
Z,Z1,6.25,0.1, 00:04,1
Z,Z2,56.25,0.9, 00:40,1
Z,Y,75,1.2, 00:54,1
Z1,Z,6.25,0.1, 00:04,1
Z1,Z2,62.5,1, 00:45,1
Z2,Z,56.25,0.9, 00:40,1
Z2,Z1,62.5,1, 00:45,1
Z2,Y,25,0.4, 00:18,1
Z2,JARDIN CHEDRAUI,56.25,0.9, 00:40,1
COMEDORES X,X,112.5,1.8, 01:20,1
COMEDORES X,V,112.5,1.8, 01:20,1
FLOR DE CORDOBA,Q,31.25,0.5, 00:22,1
FLOR DE CORDOBA,T,43.75,0.7, 00:31,1
FLOR DE CORDOBA,U,62.5,1, 00:45,1
FLOR DE CORDOBA,TITANIC,73.75,1.18, 00:53,1
TITANIC,FLOR DE CORDOBA,43.75,0.7, 00:31,1
TITANIC,U,175,2.8, 02:05,1
TITANIC,Q,68.75,1.1, 00:49,1
TITANIC,ENTRADA REVOLUCIÓN,150,2.4, 01:47,1
JOBS,CDU-CUCEI,118.75,1.9, 01:25,1
JOBS,P,84.375,1.35, 01:00,1
JOBS,Q,43.75,0.7, 00:31,1
JARDIN CHEDRAUI,Z2,56.25,0.9, 00:40,1
JARDIN CHEDRAUI,Y,56.25,0.9, 00:40,1
JARDIN CHEDRAUI,W,43.75,0.7, 00:31,1
JARDIN CHEDRAUI,S,50,0.8, 00:36,1
JARDIN CHEDRAUI,O,106.25,1.7, 01:16,1
JARDIN CHEDRAUI,M,181.25,2.9, 02:09,1
JARDIN CHEDRAUI,N,181.25,2.9, 02:09,1
COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,CDU-CUCEI,87.5,1.4, 01:03,4
COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,ESTACIONAMIENTO ESTUDIANTES,75,1.2, 00:54,4
COORDINACIÓN TECNOLOGÍAS PARA EL APRENDIZAJE,ALFA,31.25,0.5, 00:22,4
